# Langmuir probe raw measurement — 2026-06-07 16:12:16
# Points: 1000
voltage_V,current_A,current_mA
-30.8809,-5.67550916e-03,-5.67551
-30.7808,-5.69387192e-03,-5.69387
-30.6807,-5.50740464e-03,-5.5074
-30.5806,-5.76224945e-03,-5.76225
-30.4805,-5.73901332e-03,-5.73901
-30.3804,-5.58320359e-03,-5.5832
-30.2803,-5.68499236e-03,-5.68499
-30.1802,-5.64403953e-03,-5.64404
-30.0801,-5.65786704e-03,-5.65787
-29.98,-5.60576062e-03,-5.60576
-29.8799,-5.49676512e-03,-5.49677
-29.7798,-5.62644996e-03,-5.62645
-29.6797,-5.56910961e-03,-5.56911
-29.5796,-5.83651564e-03,-5.83652
-29.4795,-5.63436511e-03,-5.63437
-29.3794,-5.71181102e-03,-5.71181
-29.2793,-5.74736392e-03,-5.74736
-29.1792,-5.71129236e-03,-5.71129
-29.0791,-5.65488385e-03,-5.65488
-28.979,-5.52787551e-03,-5.52788
-28.8789,-5.75009918e-03,-5.7501
-28.7788,-5.61239076e-03,-5.61239
-28.6787,-5.66186472e-03,-5.66186
-28.5786,-5.64420882e-03,-5.64421
-28.4785,-5.50915931e-03,-5.50916
-28.3784,-5.55361699e-03,-5.55362
-28.2783,-5.47168200e-03,-5.47168
-28.1782,-5.61886550e-03,-5.61887
-28.0781,-5.67100215e-03,-5.671
-27.978,-5.62178655e-03,-5.62179
-27.8779,-5.57314360e-03,-5.57314
-27.7778,-5.57772837e-03,-5.57773
-27.6777,-5.70181674e-03,-5.70182
-27.5776,-5.58232100e-03,-5.58232
-27.4775,-5.56653898e-03,-5.56654
-27.3774,-5.33560604e-03,-5.33561
-27.2773,-5.39766039e-03,-5.39766
-27.1772,-5.66866038e-03,-5.66866
-27.0771,-5.61006534e-03,-5.61007
-26.977,-5.72566192e-03,-5.72566
-26.8769,-5.63637889e-03,-5.63638
-26.7768,-5.54373791e-03,-5.54374
-26.6767,-5.45270300e-03,-5.4527
-26.5766,-5.64418642e-03,-5.64419
-26.4765,-5.63468208e-03,-5.63468
-26.3764,-5.78198544e-03,-5.78199
-26.2763,-5.58151193e-03,-5.58151
-26.1762,-5.66947528e-03,-5.66948
-26.0761,-5.61416595e-03,-5.61417
-25.976,-5.64689592e-03,-5.6469
-25.8759,-5.56662358e-03,-5.56662
-25.7758,-5.73095730e-03,-5.73096
-25.6757,-5.69987575e-03,-5.69988
-25.5756,-5.33823290e-03,-5.33823
-25.4755,-5.67788586e-03,-5.67789
-25.3754,-5.65680774e-03,-5.65681
-25.2753,-5.36142300e-03,-5.36142
-25.1752,-5.25259236e-03,-5.25259
-25.0751,-5.65824001e-03,-5.65824
-24.975,-5.57589206e-03,-5.57589
-24.8749,-5.50289493e-03,-5.50289
-24.7748,-5.36216356e-03,-5.36216
-24.6747,-5.63170135e-03,-5.6317
-24.5746,-5.55552521e-03,-5.55553
-24.4745,-5.45124490e-03,-5.45124
-24.3744,-5.48348272e-03,-5.48348
-24.2743,-5.56255501e-03,-5.56256
-24.1742,-5.53630117e-03,-5.5363
-24.0741,-5.65838729e-03,-5.65839
-23.974,-5.54269328e-03,-5.54269
-23.8739,-5.54349217e-03,-5.54349
-23.7738,-5.49161326e-03,-5.49161
-23.6737,-5.56833907e-03,-5.56834
-23.5736,-5.46362786e-03,-5.46363
-23.4735,-5.40748473e-03,-5.40748
-23.3734,-5.49118718e-03,-5.49119
-23.2733,-5.46952745e-03,-5.46953
-23.1732,-5.49735968e-03,-5.49736
-23.0731,-5.50063803e-03,-5.50064
-22.973,-5.57077262e-03,-5.57077
-22.8729,-5.46493680e-03,-5.46494
